time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_obs1,q_obs2,q_obs3,q_obs4,q_obs5,q_obs6,qdot_obs1,qdot_obs2,qdot_obs3,qdot_obs4,qdot_obs5,qdot_obs6,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,q_ref6,qdot_ref1,qdot_ref2,qdot_ref3,qdot_ref4,qdot_ref5,qdot_ref6,error1,error2,error3,error4,error5,error6,correction1,correction2,correction3,correction4,correction5,correction6,target1,target2,target3,target4,target5,target6,controller,error_norm,correction_norm,smoothness,fuzzy_severity,fuzzy_exploration_scale,fuzzy_expert_blend,fuzzy_kp_multiplier,fuzzy_kd_multiplier,reward_error_weight,reward_velocity_weight,reward_effort_weight,reward_smoothness_weight,x,x_ref,x_error,y,y_ref,y_error,z,z_ref,z_error,cartesian_error_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fuzzy-pid,0.0,0.0,0.0,0.0,0.03,0.2,0.8,0.9,1.0,0.3,0.02,0.03,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013781452909505045,0.0381180589517092,-0.08528762659703253,0.04738485347595059,0.0,0.0,0.00806558109431039,1.38130841231153,-2.489906462251626,0.5387713317766756,0.28109808614435233,0.11712420256014687,0.00013781452909505045,0.0381180589517092,-0.08528762659703253,0.04738485347595059,0.0,0.0,0.00011314548250221932,0.024585615699557598,-0.05026521522316898,0.02125667493305017,0.0022199538800161023,0.0009249807833400433,0.0001882200086979523,0.047027755988450104,-0.10166463136515112,0.05148114630675057,0.0016649654100120768,0.0006937355875050325,fuzzy-pid,0.10474878997192552,0.059905652292136444,0.059905652292136444,0.2119035806072471,0.07661878773359436,0.3854156330313412,1.0251475543952,1.316239176192807,1.0,1.2081582026024875,0.02,0.03,2.95,2.94838371786195,-0.0016162821380500958,0.0,0.0004063301162411136,0.0004063301162411136,0.0,0.0006347452535420314,0.0006347452535420314,0.0017833602132038395
0.1,5.228333574943121e-05,0.013063265552347254,-0.02824017537920865,0.014300318418541826,0.00046249039167002137,0.00019270432986250906,0.001045666714988624,0.26126531104694506,-0.564803507584173,0.2860063683708365,0.009249807833400427,0.003854086597250181,5.228333574943121e-05,0.013063265552347254,-0.02824017537920865,0.014300318418541826,0.00046249039167002137,0.00019270432986250906,0.001045666714988624,0.26126531104694506,-0.564803507584173,0.2860063683708365,0.009249807833400427,0.003854086597250181,0.0010245263802546082,0.10445679642020711,-0.23157683748405936,0.12871088446494106,0.0,0.0,0.029246953888856283,1.8434479699086597,-3.2820252957624096,0.7215437476711408,0.37645760748059526,0.156857336450248,0.000972243044505177,0.09139353086785985,-0.2033366621048507,0.11441056604639924,-0.00046249039167002137,-0.00019270432986250906,0.0006878238004771409,0.059153445582112774,-0.12106995966052042,0.053358886838743964,0.004719479353649567,0.0019664497306873196,0.0013313176377233,0.13446462049885244,-0.28990125569972264,0.14942261505445142,0.003955850867740194,0.0016482711948917477,fuzzy-pid,0.2505784299423095,0.1450201695372035,0.08512614902130117,0.33501367769471546,0.1037030090928374,0.493136967982876,1.1559520325506352,1.4500000000000002,1.2115910680565978,1.5,0.02,0.03,2.94982229161052,2.938091248158604,-0.011731043451916001,0.00015422654941395792,0.0030101530445404514,0.0028559264951264936,0.0002394225246405366,0.00467404946999757,0.004434626945357034,0.012862333099433921
0.15000000000000002,0.0004075706418532837,0.0467858641485987,-0.08824017537920864,0.0518342897062945,0.001432868301689514,0.0005970284590372976,0.007105746122077049,0.6744519719250288,-1.2,0.7506794257550534,0.01940755820038985,0.008086482583495772,0.0004075706418532837,0.0467858641485987,-0.08824017537920864,0.0518342897062945,0.001432868301689514,0.0005970284590372976,0.007105746122077049,0.6744519719250288,-1.2,0.7506794257550534,0.01940755820038985,0.008086482583495772,0.003219298051609454,0.1859758043369581,-0.40797715672547064,0.22696963098130044,0.0,0.0,0.059873732743331444,2.127281226447321,-3.7336168485882464,0.8397705492893769,0.43814115615097926,0.18255881506290803,0.0028117274097561704,0.1391899401883594,-0.319736981346262,0.17513534127500593,-0.001432868301689514,-0.0005970284590372976,0.002064393601042724,0.09742786292034138,-0.1458905306496054,0.09287582585168269,0.0063645694578091045,0.0026519039407537936,0.004295598148919958,0.24616890556768772,-0.48787607945623773,0.27723974638835025,0.005762389810291877,0.0024009957542882824,fuzzy-pid,0.39024130972918464,0.19863020035713266,0.06039578916694566,0.5852070753280719,0.15874555657217582,0.7120561909120628,1.4217825175360765,1.4500000000000002,2.1738733666464305,1.5,0.02,0.03,2.948144911181233,2.913093990813869,-0.03505092036736368,0.0012015773802595007,0.009378150206812298,0.008176572826552798,0.026560521199699604,0.014473256597353159,-0.012087264602346446,0.037967424555193745
0.2,0.0014875782827051378,0.10217004232056788,-0.14824017537920864,0.1118342897062945,0.0026355131651901705,0.0010981304854959044,0.02160015281703708,1.1076835634393836,-1.2,1.2,0.024052897270013127,0.010022040529172138,0.0014875782827051378,0.10217004232056788,-0.14824017537920864,0.1118342897062945,0.0026355131651901705,0.0010981304854959044,0.02160015281703708,1.1076835634393836,-1.2,1.2,0.024052897270013127,0.010022040529172138,0.00712614052078866,0.2773213226452484,-0.6017060845179949,0.33531396829898463,0.0,0.0,0.09738319966817309,2.3074386392054294,-3.9890425868116073,0.924527829659323,0.482362345909212,0.20098431079550502,0.005638562238083522,0.17515128032468052,-0.45346590913878626,0.22347967859269013,-0.0026355131651901705,-0.0010981304854959044,0.004359322854997951,0.130621772147603,-0.16100624574296238,0.1298016504149541,0.0074298421200249196,0.0030957675500103833,0.009687997069069948,0.3674995474865605,-0.6940032675597774,0.4181466506325416,0.007012979042591658,0.002922074601079858,fuzzy-pid,0.5350629997473687,0.24478014013411253,0.0519657145941232,0.7945375098318719,0.2047982521630118,0.8914983223638858,1.6388994136831685,1.4500000000000002,2.9701809579592657,1.5,0.022290460762462768,0.03286307595307846,2.9413222462114854,2.8699283021243263,-0.07139394408715916,0.004375450323364354,0.02045185856129876,0.01607640823793441,0.14257521909193055,0.03136808422937646,-0.1112071348625541,0.13312615444942225
0.25,0.0037654723900286966,0.16217004232056786,-0.20824017537920864,0.1718342897062945,0.003851475908912806,0.0016047816287136692,0.045557882146471176,1.2,-1.2,1.2,0.02431925487445271,0.010133022864355298,0.0037654723900286966,0.16217004232056786,-0.20824017537920864,0.1718342897062945,0.003851475908912806,0.0016047816287136692,0.045557882146471176,1.2,-1.2,1.2,0.02431925487445271,0.010133022864355298,0.013043309195494365,0.3749389992608826,-0.8046131684153138,0.449550822050767,0.0,0.0,0.14004945446164802,2.412931001260088,-4.107532822374834,0.9881529801275232,0.5155580765882729,0.21481586524511367,0.009277836805465667,0.21276895694031472,-0.5963729930361052,0.2777165323444725,-0.003851475908912806,-0.0016047816287136692,0.006887720340408027,0.152703677934594,-0.15846216700305,0.157277452072184,0.008341796890748005,0.0034757487044783353,0.01737027141919428,0.48760689476824753,-0.8958073184537172,0.5596578682503487,0.008009592428708918,0.003337330178628716,fuzzy-pid,0.6914921081576363,0.270728601467011,0.03544532998229359,0.8196546277608335,0.21032401810738338,0.8852590291793748,1.6254317152989581,1.4500000000000002,3.0,1.5,0.039654627760833464,0.05456828470104183,2.9265806236660223,2.8073452025988255,-0.11923542106719687,0.011020010619100514,0.036619148165977035,0.02559913754687652,0.2715547684203797,0.0558127234927824,-0.21574204492759727,0.24782459811277216
0.30000000000000004,0.0075445832314635815,0.22217004232056786,-0.26824017537920863,0.2318342897062945,0.005006508275522837,0.0020860451148011824,0.07558221682869769,1.2,-1.2,1.2,0.023100647332200623,0.009625269721750259,0.0075445832314635815,0.22217004232056786,-0.26824017537920863,0.2318342897062945,0.005006508275522837,0.0020860451148011824,0.07558221682869769,1.2,-1.2,1.2,0.023100647332200623,0.009625269721750259,0.021195866803104663,0.4760395241259542,-1.0106990696907643,0.5667466042072831,0.0,0.0,0.18660440924462446,2.4579313788276664,-4.1199989541116135,1.0361579527364875,0.5406041492538196,0.22525172885575817,0.013651283571641082,0.2538694818053863,-0.7424588943115557,0.3349123145009886,-0.005006508275522837,-0.0020860451148011824,0.009765458675395505,0.1556487790187386,-0.1556487790187386,0.1556487790187386,0.009061341424348557,0.0037755589268118985,0.027563561963673697,0.5956679510505815,-1.0987127161455565,0.6817110044821034,0.008798404175438647,0.003666001739766103,fuzzy-pid,0.8532742561400581,0.2699469469485285,0.005303805868527164,0.8352845610070078,0.2137626034215417,0.8735365792447441,1.6058942987412403,1.4500000000000002,3.0,1.5,0.05528456100700767,0.0741057012587596,2.904043186664941,2.72596614026957,-0.17807704639537114,0.02191021124625359,0.0577878694960916,0.035877658249838004,0.39936878220525196,0.08751792488791661,-0.31185085731733536,0.36090109174668394
0.35000000000000003,0.013105410657077503,0.28217004232056786,-0.32824017537920863,0.2918342897062945,0.006059812692166117,0.002524921955069216,0.11121654851227843,1.2,-1.2,1.2,0.021066088332865614,0.00877753680536067,0.013105410657077503,0.28217004232056786,-0.32824017537920863,0.2918342897062945,0.006059812692166117,0.002524921955069216,0.11121654851227843,1.2,-1.2,1.2,0.021066088332865614,0.00877753680536067,0.03174853566373302,0.5781991837856992,-1.2151478250836625,0.6846778388743221,0.0,0.0,0.23583463797898754,2.4497870310673706,-4.044333925193968,1.0702768355995385,0.558405305530194,0.2326688773042475,0.01864312500665552,0.2960291414651314,-0.8869076497044539,0.3928435491680276,-0.006059812692166117,-0.002524921955069216,0.01303183136253356,0.15574232974160943,-0.15574232974160943,0.15574232974160943,0.00958019693482004,0.003991748722841683,0.040476165760618354,0.6993731229081269,-1.302845795155343,0.8007428775824745,0.009384748744974691,0.003910311977072789,fuzzy-pid,1.0143742645072138,0.2702675760794668,0.00331834217843556,0.8347648347688366,0.21364826364914405,0.8739263739233725,1.6065439565389543,1.4500000000000002,3.0,1.5,0.05476483476883655,0.07345604346104569,2.8737489422279,2.627944960363558,-0.24580398186434227,0.037663816313866505,0.08346144837958751,0.045797632065721,0.5255247418488337,0.12558832653584834,-0.39993641531298535,0.4716631816207343
0.4,0.020708398185838854,0.34217004232056786,-0.38824017537920863,0.3518342897062945,0.006983406040168499,0.002909752516736875,0.15205975057522697,1.2,-1.2,1.2,0.018471866960047635,0.007696611233353182,0.020708398185838854,0.34217004232056786,-0.38824017537920863,0.3518342897062945,0.006983406040168499,0.002909752516736875,0.15205975057522697,1.2,-1.2,1.2,0.018471866960047635,0.007696611233353182,0.04479818001196831,0.6791483778628303,-1.413850553845006,0.8015525367693229,0.0,0.0,0.2861700549983285,2.392214289246456,-3.891645558496324,1.0896083013534679,0.5684912876626789,0.23687136985944954,0.024089781826129454,0.3369783355422625,-1.0256103784657973,0.44971824706302843,-0.006983406040168499,-0.002909752516736875,0.016494256003865854,0.15570401585919483,-0.15570401585919483,0.15570401585919483,0.00995041715516496,0.004146007147985399,0.056088368452030204,0.8009825760185505,-1.5028773760669865,0.9181281338670069,0.009809000052617393,0.004087083355257247,fuzzy-pid,1.1697500164527008,0.2704061432770994,0.003486208102070525,0.8349776896711399,0.21369509172765078,0.873766732746645,1.606277887911075,1.4500000000000002,3.0,1.5,0.05497768967113992,0.0737221120889249,2.8357315157979035,2.516636176489426,-0.31909533930847767,0.058731853095989564,0.11281619996789469,0.05408434687190512,0.6495474109246984,0.1686583120704042,-0.4808890988542942,0.5796561718310675
0.45,0.03053616770422534,0.40217004232056786,-0.4482401753792086,0.4118342897062945,0.007768293265848747,0.003236788860770312,0.19655539036772973,1.2,-1.2,1.2,0.015697744513604967,0.006540726880668736,0.03053616770422534,0.40217004232056786,-0.4482401753792086,0.4118342897062945,0.007768293265848747,0.003236788860770312,0.19655539036772973,1.2,-1.2,1.2,0.015697744513604967,0.006540726880668736,0.06034560650581841,0.7766444624474457,-1.603158121774885,0.9158454613336028,0.0,0.0,0.33527076700852415,2.2871539401404086,-3.669669898341862,1.0912672903614693,0.5693568471451144,0.2372320196437977,0.02980943880159307,0.3744744201268778,-1.1549179463956762,0.5040111716273084,-0.007768293265848747,-0.003236788860770312,0.020030139696844616,0.15568743179660444,-0.15568743179660444,0.15568743179660444,0.010163362357369997,0.004234734315570832,0.07430390176500482,0.8994945646876753,-1.6948535091953636,1.033181703314407,0.010074771781181846,0.004197821575492436,fuzzy-pid,1.3149346908441342,0.2706255026114,0.003543517567767797,0.8350698233521976,0.21371536113748346,0.8736976324858517,1.6061627208097529,1.4500000000000002,3.0,1.5,0.05506982335219758,0.07383727919024696,2.790011533209265,2.396269582642594,-0.39374195056667105,0.08522275058699642,0.14478012739192667,0.05955737680493024,0.7709846091181207,0.21502572261284694,-0.5559588865052738,0.6838640860961447
